val_loss,val_accuracy,val_f1,val_precision,val_recall
0.6875606288192093,tensor(0.5511),"{'S_f1': 0.6649949849548645, 'NS_f1': 0.3197556008146639}","{'S_precision': 0.5308246597277823, 'NS_precision': 0.6569037656903766}","{'S_recall': 0.8899328859060402, 'NS_recall': 0.21130551816958276}"
0.6753816604614258,tensor(0.5870),"{'S_f1': 0.5852176847789403, 'NS_f1': 0.5888256942121111}","{'S_precision': 0.5875974246018298, 'NS_precision': 0.5864711762745751}","{'S_recall': 0.5828571428571429, 'NS_recall': 0.5911991938192812}"
0.665693413185817,tensor(0.6057),"{'S_f1': 0.5438289601554908, 'NS_f1': 0.6527592839177392}","{'S_precision': 0.6432183908045978, 'NS_precision': 0.5840614244109081}","{'S_recall': 0.47104377104377104, 'NS_recall': 0.7397719651240778}"
0.6800223640216294,tensor(0.5670),"{'S_f1': 0.6729280365528619, 'NS_f1': 0.359751552795031}","{'S_precision': 0.5406893738527432, 'NS_precision': 0.6901811248808389}","{'S_recall': 0.8907930107526881, 'NS_recall': 0.24327956989247312}"
0.662487224225075,tensor(0.6092),"{'S_f1': 0.6477892186553603, 'NS_f1': 0.5611320754716981}","{'S_precision': 0.5895810363836824, 'NS_precision': 0.6398450946643718}","{'S_recall': 0.71875, 'NS_recall': 0.49966397849462363}"
0.6538867463347733,tensor(0.6250),"{'S_f1': 0.6192425793244626, 'NS_f1': 0.6305858987090368}","{'S_precision': 0.6284626038781164, 'NS_precision': 0.6217362924281984}","{'S_recall': 0.6102891728312038, 'NS_recall': 0.6396910678307589}"
0.6444657592363255,tensor(0.6398),"{'S_f1': 0.6330023964395755, 'NS_f1': 0.6463213460903993}","{'S_precision': 0.6438022284122563, 'NS_precision': 0.6360389610389611}","{'S_recall': 0.6225589225589225, 'NS_recall': 0.6569416498993964}"
0.6399352870961671,tensor(0.6497),"{'S_f1': 0.6827932450935645, 'NS_f1': 0.6088913899831176}","{'S_precision': 0.6236798221234019, 'NS_precision': 0.68946474086661}","{'S_recall': 0.7542857142857143, 'NS_recall': 0.5451797111185758}"
0.6282494901328959,tensor(0.6704),"{'S_f1': 0.6821127673363577, 'NS_f1': 0.6577110956036288}","{'S_precision': 0.658429777916797, 'NS_precision': 0.6842105263157895}","{'S_recall': 0.7075630252100841, 'NS_recall': 0.6331877729257642}"
0.6233340572285396,tensor(0.6803),"{'S_f1': 0.6906194114778085, 'NS_f1': 0.6692160611854684}","{'S_precision': 0.6689763779527559, 'NS_precision': 0.693194094346417}","{'S_recall': 0.7137096774193549, 'NS_recall': 0.6468413978494624}"
0.6170889517312409,tensor(0.6860),"{'S_f1': 0.6788107922323423, 'NS_f1': 0.6928512736236647}","{'S_precision': 0.6949331456720619, 'NS_precision': 0.6778135048231512}","{'S_recall': 0.663419549882432, 'NS_recall': 0.7085714285714285}"
0.6424937594321466,tensor(0.6473),"{'S_f1': 0.5640706126687436, 'NS_f1': 0.7039074622654817}","{'S_precision': 0.7416712179137084, 'NS_precision': 0.6054355738898326}","{'S_recall': 0.4550938337801609, 'NS_recall': 0.840633423180593}"
0.6090592889375585,tensor(0.6991),"{'S_f1': 0.7087331273377785, 'NS_f1': 0.68879235447437}","{'S_precision': 0.6869482976040353, 'NS_precision': 0.7129496402877697}","{'S_recall': 0.7319449109842123, 'NS_recall': 0.666218487394958}"
0.6109506846756063,tensor(0.6857),"{'S_f1': 0.6624571531661555, 'NS_f1': 0.7058638578839805}","{'S_precision': 0.7163480296527507, 'NS_precision': 0.6624372971377988}","{'S_recall': 0.6161073825503356, 'NS_recall': 0.7553835800807537}"
0.6043100494851348,tensor(0.7026),"{'S_f1': 0.7176132737715379, 'NS_f1': 0.6859474804826118}","{'S_precision': 0.6840024330900243, 'NS_precision': 0.7256006006006006}","{'S_recall': 0.7546979865771812, 'NS_recall': 0.6504037685060565}"
0.5957050259395312,tensor(0.7137),"{'S_f1': 0.7130346918154261, 'NS_f1': 0.7143814951391216}","{'S_precision': 0.7152027027027027, 'NS_precision': 0.7122326203208557}","{'S_recall': 0.7108797850906649, 'NS_recall': 0.7165433759246805}"
0.5919730131344129,tensor(0.7176),"{'S_f1': 0.72191894127378, 'NS_f1': 0.7130909711554873}","{'S_precision': 0.711212516297262, 'NS_precision': 0.7243411927877947}","{'S_recall': 0.7329526368827679, 'NS_recall': 0.7021848739495798}"
0.5927921001629163,tensor(0.7152),"{'S_f1': 0.7279730380356283, 'NS_f1': 0.701216287678477}","{'S_precision': 0.6976314980006152, 'NS_precision': 0.7363939281747501}","{'S_recall': 0.7610738255033557, 'NS_recall': 0.6692462987886945}"
0.5869977355644267,tensor(0.7260),"{'S_f1': 0.7264799597518027, 'NS_f1': 0.7254670930819728}","{'S_precision': 0.725385130609511, 'NS_precision': 0.7265677680377612}","{'S_recall': 0.7275780987571381, 'NS_recall': 0.7243697478991596}"
0.5889347061034171,tensor(0.7213),"{'S_f1': 0.7133229652669778, 'NS_f1': 0.7287886218734674}","{'S_precision': 0.7345195729537367, 'NS_precision': 0.7094207511139402}","{'S_recall': 0.6933154182062479, 'NS_recall': 0.7492436974789916}"
0.5890324269571612,tensor(0.7214),"{'S_f1': 0.7134462495679226, 'NS_f1': 0.7289964040536123}","{'S_precision': 0.7337362246711696, 'NS_precision': 0.7104173303599872}","{'S_recall': 0.6942482341069627, 'NS_recall': 0.7485733467606579}"
0.5889222830213526,tensor(0.7213),"{'S_f1': 0.7133229652669778, 'NS_f1': 0.7287886218734674}","{'S_precision': 0.7345195729537367, 'NS_precision': 0.7094207511139402}","{'S_recall': 0.6933154182062479, 'NS_recall': 0.7492436974789916}"
0.5892251646646889,tensor(0.7208),"{'S_f1': 0.7132505175983437, 'NS_f1': 0.7278978388998035}","{'S_precision': 0.7329787234042553, 'NS_precision': 0.7097701149425287}","{'S_recall': 0.6945564516129032, 'NS_recall': 0.7469758064516129}"
0.5892644736074633,tensor(0.7208),"{'S_f1': 0.7132505175983437, 'NS_f1': 0.7278978388998036}","{'S_precision': 0.7334989354151881, 'NS_precision': 0.7093171665603063}","{'S_recall': 0.6940899932840833, 'NS_recall': 0.7474781439139206}"
0.589794563029402,tensor(0.7203),"{'S_f1': 0.7126833477135461, 'NS_f1': 0.7274513013586511}","{'S_precision': 0.7327892122072391, 'NS_precision': 0.7089980855137205}","{'S_recall': 0.6936513268390998, 'NS_recall': 0.746890756302521}"
0.5895400473507502,tensor(0.7204),"{'S_f1': 0.7129054520358867, 'NS_f1': 0.727570399476097}","{'S_precision': 0.7323644097837646, 'NS_precision': 0.7096774193548387}","{'S_recall': 0.6944537815126051, 'NS_recall': 0.7463889821968425}"
0.5888541497850931,tensor(0.7214),"{'S_f1': 0.7142364701826955, 'NS_f1': 0.7282858079318256}","{'S_precision': 0.7347517730496453, 'NS_precision': 0.7094508301404853}","{'S_recall': 0.6948356807511737, 'NS_recall': 0.7481481481481481}"
0.589750829563346,tensor(0.7203),"{'S_f1': 0.7127824736932896, 'NS_f1': 0.7273620435565743}","{'S_precision': 0.7336647727272727, 'NS_precision': 0.7082270408163265}","{'S_recall': 0.6930560214693056, 'NS_recall': 0.7475597441938742}"
0.5896758228860876,tensor(0.7203),"{'S_f1': 0.7126833477135461, 'NS_f1': 0.7274513013586511}","{'S_precision': 0.7327892122072391, 'NS_precision': 0.7089980855137205}","{'S_recall': 0.6936513268390998, 'NS_recall': 0.746890756302521}"
0.5893131802158971,tensor(0.7209),"{'S_f1': 0.713768740306738, 'NS_f1': 0.7277495492542205}","{'S_precision': 0.7338766832034018, 'NS_precision': 0.7092651757188498}","{'S_recall': 0.6947333109694733, 'NS_recall': 0.7472231571861326}"
